Signal,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma,Word
25,170,364,864,1112,1584,2186,3348,4457,mid
36,200,348,824,1084,1517,2302,3239,4573,mid
32,167,366,866,1106,1572,2352,3417,4481,mid
7,113,520,791,1120,1510,2283,3414,4682,mid
28,157,544,785,1093,1506,2232,3455,4548,mid
16,154,390,785,1101,1584,2046,3219,4620,mid
39,130,426,843,1088,1523,2206,3648,4442,mid
36,85,349,888,1125,1489,2337,3238,4401,mid
35,86,531,842,1108,1584,2367,3386,4426,mid
22,170,481,832,1128,1476,2034,3592,4644,mid
15,199,383,887,1107,1493,1925,3275,4401,mid
10,130,353,828,1097,1547,2185,3380,4531,mid
16,149,337,833,1095,1577,2062,3768,4624,mid
35,135,545,869,1097,1494,2253,3286,4415,mid
7,130,390,866,1098,1585,2222,3725,4656,mid
19,113,536,852,1080,1529,2032,3336,4467,mid
9,154,533,845,1112,1485,1948,3291,4677,mid
8,185,394,896,1123,1545,1923,3361,4552,mid
43,117,527,806,1114,1535,2338,3375,4576,mid
43,120,397,792,1103,1471,2059,3678,4560,mid
25,196,388,784,1116,1503,2061,3426,4502,mid
9,150,488,880,1126,1557,2373,3650,4532,mid
24,185,375,819,1118,1502,2321,3430,4581,mid
38,146,397,827,1122,1454,2258,3314,4628,mid
41,120,412,884,1100,1479,2294,3405,4630,mid
11,185,532,827,1100,1596,2251,3792,4446,mid
22,128,540,802,1096,1595,2208,3529,4423,mid
33,243,672,907,1109,1565,2647,3594,4718,high
29,218,533,854,1133,1555,2443,3661,4907,high
41,203,534,899,1142,1600,2506,3948,4804,high
42,229,568,907,1156,1627,2233,3786,4718,high
43,212,558,924,1143,1617,2736,3934,4895,high
17,272,593,902,1158,1647,2457,3529,4736,high
43,192,546,877,1155,1614,2655,3572,4884,high
11,209,546,866,1138,1564,2254,3728,4853,high
10,239,609,888,1149,1604,2882,3748,4655,high
34,217,520,863,1106,1573,2912,3738,4886,high
25,259,622,878,1120,1616,2574,3754,4751,high
14,272,645,913,1128,1565,2579,3873,4608,high
14,181,499,860,1171,1557,2518,3554,4737,high
45,239,529,854,1170,1594,2231,3608,4693,high
32,186,574,874,1136,1648,2265,3561,4616,high
44,259,644,909,1129,1666,2963,3752,4691,high
22,262,497,874,1151,1657,2730,3697,4603,high
17,187,559,899,1134,1550,2847,3649,4807,high
29,210,528,878,1169,1610,2442,3694,4712,high
11,241,629,871,1106,1569,2240,3927,4881,high
30,201,648,888,1166,1574,2424,3762,4921,high
14,246,585,870,1163,1618,2333,3517,4836,high
33,226,633,883,1167,1616,2480,3700,4748,high
27,215,642,882,1127,1661,2361,3810,4652,high
14,216,656,922,1150,1564,2975,3599,4747,high
26,238,604,909,1125,1617,2428,3907,4670,high
46,231,618,859,1170,1622,2659,3504,4637,high
19,249,596,890,1129,1637,2772,3616,4660,high
45,234,672,893,1134,1573,2918,3676,4665,high
10,269,518,918,1170,1662,2761,3603,4966,high
41,79,363,785,1091,1352,1907,3127,4192,low
18,81,376,789,1051,1472,1912,3208,4267,low
9,77,398,783,1061,1434,1808,3160,4121,low
13,66,369,778,1083,1368,1994,3241,4245,low
22,99,396,797,1097,1399,1892,3297,4261,low
14,64,366,777,1047,1359,1996,3285,4309,low
14,70,393,794,1013,1405,1899,3203,4353,low
26,54,366,781,1041,1426,1937,3266,4294,low
43,69,389,786,1079,1322,1867,3251,4426,low
43,93,372,762,1027,1307,1892,3222,4324,low
24,65,352,776,1034,1386,1903,3233,4145,low
30,81,378,754,1025,1400,1882,3116,4446,low
29,82,358,767,1027,1326,1938,3280,4205,low
17,98,382,790,1020,1366,1866,3160,4210,low
7,80,354,777,1002,1333,1910,3265,4222,low
30,96,357,793,1072,1378,1857,3232,4314,low
41,57,350,770,1038,1389,1958,3270,4169,low
9,100,363,798,1003,1344,1939,3233,4437,low
40,56,376,791,1095,1355,1929,3185,4392,low
37,62,368,758,1099,1464,1847,3284,4239,low
23,98,400,800,1009,1442,1825,3135,4136,low
27,92,362,780,1078,1314,1863,3106,4390,low
22,51,367,772,1046,1437,1952,3117,4236,low
26,92,372,751,1000,1347,1925,3264,4325,low
18,64,386,786,1024,1333,1805,3202,4370,low
24,87,394,774,1021,1432,1833,3289,4497,low
13,87,400,778,1034,1329,1832,3150,4179,low
42,69,360,789,1084,1356,1902,3209,4296,low
8,84,360,778,1054,1368,1918,3230,4230,low
25,79,392,793,1094,1344,1947,3287,4106,low
43,126,441,808,1111,1524,2228,3725,4554,mid
40,138,484,802,1087,1524,2012,3721,4538,mid
19,146,489,835,1086,1543,2297,3470,4591,mid
34,188,428,793,1092,1598,2319,3404,4412,mid
47,95,451,859,1085,1461,2025,3777,4476,mid
13,150,419,824,1113,1557,2281,3452,4453,mid
36,151,485,798,1088,1581,2198,3445,4630,mid
8,174,549,897,1129,1530,2013,3372,4632,mid
32,166,496,840,1080,1463,2267,3705,4594,mid
7,160,396,784,1103,1519,1973,3719,4469,mid
44,181,546,895,1103,1554,2337,3425,4580,mid
33,194,397,850,1130,1506,2252,3400,4509,mid
9,194,454,827,1096,1517,2095,3775,4629,mid
36,98,332,848,1087,1597,2362,3485,4613,mid
33,196,359,808,1084,1538,2141,3579,4672,mid
33,122,533,819,1123,1455,2153,3673,4579,mid
20,81,519,888,1130,1511,2363,3756,4642,mid
27,195,407,868,1085,1582,2125,3631,4401,mid
39,198,444,834,1099,1484,2263,3732,4430,mid
45,88,496,852,1084,1592,2223,3218,4618,mid
36,167,336,796,1127,1510,2070,3216,4560,mid
43,87,385,791,1101,1533,1967,3304,4463,mid
41,96,507,864,1095,1475,2062,3608,4571,mid
30,164,456,789,1091,1516,2022,3676,4616,mid
17,194,438,825,1109,1459,2185,3322,4474,mid
23,134,350,859,1099,1547,2287,3628,4548,mid
13,125,496,790,1106,1569,1904,3572,4407,mid
8,187,417,780,1099,1574,2167,3671,4505,mid
26,114,524,796,1086,1507,2354,3415,4475,mid
32,114,431,805,1124,1525,2344,3279,4419,mid
12,211,572,917,1100,1656,2295,3726,4803,high
10,252,489,884,1162,1670,2966,3769,4871,high
9,259,630,851,1107,1607,2529,3765,4618,high
29,209,532,863,1156,1646,2555,3863,4892,high
30,219,601,916,1138,1625,2880,3816,4859,high
40,245,637,904,1150,1558,2234,3801,4737,high
29,199,618,860,1163,1649,2584,3877,4793,high
39,249,645,871,1156,1671,2642,3867,4911,high
28,234,563,904,1145,1606,2957,3624,4783,high
13,219,500,875,1159,1610,2495,3637,4645,high
41,220,629,886,1149,1650,2472,3543,4601,high
26,251,599,893,1150,1646,2519,3833,4665,high
41,215,586,878,1151,1625,2402,3556,4621,high
19,185,574,908,1146,1671,2677,3550,4806,high
10,254,566,880,1122,1611,2200,3872,4953,high
27,274,570,891,1113,1587,2875,3684,4812,high
16,240,638,905,1167,1597,2404,3699,4772,high
42,196,647,890,1133,1563,2586,3710,4968,high
43,182,645,851,1109,1593,2877,3766,4921,high
37,236,600,866,1123,1634,2767,3629,4944,high
43,254,587,867,1117,1601,2204,3707,4737,high
33,193,483,884,1170,1597,2215,3556,4843,high
35,269,491,852,1164,1560,2475,3881,4866,high
43,244,515,908,1166,1673,2241,3934,4786,high
8,243,508,894,1105,1608,2679,3598,4710,high
32,196,629,907,1111,1655,2255,3920,4725,high
42,203,548,875,1134,1602,2823,3598,4638,high
34,265,609,921,1132,1658,2240,3769,4745,high
27,268,520,862,1153,1665,2211,3823,4973,high
31,265,529,851,1108,1578,2245,3910,4685,high
26,96,392,785,1013,1301,1916,3284,4334,low
35,78,367,776,1033,1338,1863,3290,4488,low
42,72,383,759,1062,1486,1898,3182,4155,low
18,74,395,753,1091,1439,1906,3164,4150,low
38,70,357,799,1079,1354,1972,3155,4350,low
17,98,355,794,1038,1417,1802,3291,4201,low
39,67,375,763,1026,1374,1824,3136,4457,low
23,86,381,761,1018,1440,1845,3293,4274,low
20,72,381,758,1034,1408,1886,3149,4446,low
42,54,379,786,1073,1336,1810,3250,4145,low
35,64,368,761,1046,1383,1949,3298,4367,low
19,84,396,762,1078,1303,1921,3288,4151,low
25,81,364,786,1079,1394,1915,3219,4176,low
24,71,361,768,1088,1401,1857,3235,4312,low
10,52,355,750,1070,1368,1955,3217,4182,low
13,50,397,765,1027,1335,1986,3134,4140,low
23,66,387,772,1044,1355,1989,3224,4460,low
36,53,400,761,1090,1353,1934,3184,4467,low
31,82,383,795,1063,1342,1869,3182,4234,low
13,87,389,772,1017,1437,1968,3252,4402,low
43,99,393,766,1047,1445,1913,3108,4191,low
34,90,396,785,1017,1314,1806,3295,4415,low
14,64,389,782,1070,1327,1922,3219,4225,low
44,100,362,770,1028,1336,1891,3111,4343,low
13,85,366,763,1051,1416,1923,3237,4240,low
45,53,363,775,1028,1426,1904,3143,4134,low
13,89,377,769,1019,1467,1904,3135,4468,low
34,51,364,775,1020,1434,1940,3156,4150,low
41,97,350,763,1005,1334,1889,3220,4357,low
21,88,384,780,1027,1347,1856,3144,4175,low
8,89,356,801,1117,1465,2158,3229,4513,mid
25,152,408,807,1098,1559,2355,3566,4649,mid
28,88,408,875,1080,1588,2168,3596,4401,mid
47,134,529,888,1125,1561,2147,3381,4553,mid
19,144,370,854,1116,1466,2382,3590,4699,mid
25,106,407,813,1080,1543,2386,3783,4632,mid
26,155,401,823,1095,1472,2001,3463,4517,mid
35,142,420,863,1108,1566,2194,3476,4529,mid
31,153,471,849,1130,1468,2192,3213,4475,mid
7,180,432,854,1098,1523,2117,3207,4696,mid
18,191,365,875,1101,1550,2388,3314,4515,mid
29,191,364,874,1121,1556,1957,3526,4496,mid
16,195,368,875,1113,1543,2249,3404,4498,mid
47,134,392,877,1099,1545,1990,3433,4635,mid
20,180,517,799,1096,1537,2355,3245,4604,mid
8,128,374,866,1125,1511,2053,3416,4610,mid
8,180,505,793,1124,1566,1992,3735,4451,mid
38,152,391,846,1086,1569,2319,3700,4651,mid
34,145,345,790,1106,1548,1926,3719,4678,mid
30,165,493,879,1098,1495,2231,3578,4692,mid
33,139,449,883,1100,1527,2000,3583,4517,mid
7,141,508,888,1084,1451,2162,3211,4583,mid
37,107,416,829,1104,1576,1910,3240,4618,mid
20,158,514,873,1110,1479,2172,3675,4636,mid
23,89,367,870,1114,1451,2284,3592,4442,mid
24,116,411,787,1117,1578,2057,3381,4539,mid
47,88,373,842,1102,1459,2349,3620,4683,mid
17,155,355,855,1108,1463,2168,3444,4588,mid
31,145,548,873,1104,1595,2368,3394,4609,mid
8,96,414,816,1115,1507,2358,3752,4509,mid
30,201,537,916,1143,1626,2451,3506,4805,high
28,242,482,924,1163,1631,2694,3767,4891,high
46,182,543,917,1132,1609,2955,3704,4621,high
23,242,639,883,1123,1600,2423,3893,4974,high
37,264,561,875,1141,1659,2356,3966,4921,high
16,260,536,898,1104,1612,2962,3942,4874,high
19,186,524,854,1154,1585,2686,3868,4698,high
24,205,606,864,1120,1569,2566,3727,4931,high
11,231,528,866,1115,1591,2357,3574,4694,high
43,229,594,852,1165,1593,2568,3822,4700,high
44,222,584,875,1124,1582,2741,3690,4701,high
21,227,577,883,1153,1580,2967,3769,4727,high
44,221,603,895,1108,1575,2203,3537,4659,high
32,226,543,902,1112,1561,2383,3916,4837,high
20,206,489,881,1149,1595,2884,3679,4897,high
17,197,614,888,1129,1611,2800,3901,4728,high
47,209,578,917,1163,1675,2400,3663,4807,high
32,239,537,923,1136,1570,2420,3810,4839,high
21,197,506,877,1155,1576,2419,3716,4632,high
31,270,594,863,1161,1647,2797,3828,4664,high
35,200,642,923,1151,1624,2487,3737,4705,high
24,199,593,855,1120,1558,2863,3553,4880,high
19,238,604,901,1105,1665,2607,3946,4661,high
40,235,483,852,1149,1556,2778,3593,4810,high
43,212,486,885,1170,1619,2869,3710,4805,high
34,187,531,873,1170,1644,2690,3938,4768,high
11,207,532,884,1147,1652,2218,3872,4677,high
38,214,509,911,1139,1632,2900,3890,4931,high
12,191,536,921,1151,1616,2670,3596,4794,high
18,241,591,922,1146,1644,2769,3872,4821,high
44,72,359,789,1080,1411,1855,3255,4394,low
12,94,359,787,1012,1330,1850,3294,4146,low
27,82,362,778,1015,1321,1921,3186,4354,low
11,55,364,762,1016,1472,1972,3217,4253,low
32,53,387,775,1052,1438,1862,3293,4477,low
16,71,356,773,1097,1481,1985,3223,4288,low
39,71,358,785,1020,1320,1952,3154,4207,low
16,95,374,778,1049,1386,1908,3232,4268,low
36,51,393,799,1022,1481,1842,3175,4280,low
13,81,386,783,1058,1402,1902,3274,4312,low
32,88,386,787,1090,1337,1834,3110,4258,low
16,52,398,773,1079,1440,1883,3241,4166,low
26,72,369,794,1070,1318,1872,3250,4399,low
29,91,400,790,1051,1463,1966,3206,4118,low
31,64,392,760,1029,1430,1800,3245,4352,low
13,64,363,752,1033,1334,1945,3175,4120,low
31,93,375,775,1081,1467,1815,3294,4415,low
11,83,397,796,1010,1319,1829,3295,4188,low
16,65,371,753,1053,1423,1819,3267,4298,low
29,53,367,757,1083,1406,1897,3262,4472,low
44,77,384,756,1080,1377,1967,3129,4357,low
17,85,368,764,1078,1489,1953,3239,4377,low
13,64,389,760,1096,1437,1964,3186,4389,low
43,55,353,763,1092,1317,1916,3106,4127,low
36,68,352,752,1018,1413,1871,3111,4411,low
19,65,356,765,1051,1427,1852,3131,4365,low
47,84,394,758,1075,1413,1892,3168,4165,low
16,57,377,793,1085,1352,1850,3104,4453,low
43,70,356,751,1083,1406,1959,3268,4221,low
30,97,398,786,1078,1453,1900,3108,4496,low
39,182,375,898,1085,1578,2240,3490,4476,mid
34,136,510,884,1108,1558,2250,3654,4694,mid
23,112,336,784,1098,1594,2118,3490,4639,mid
34,150,385,801,1095,1599,2292,3475,4583,mid
42,116,476,837,1123,1515,1998,3296,4638,mid
27,182,404,881,1117,1511,2195,3639,4463,mid
37,82,549,783,1122,1498,2295,3207,4519,mid
46,98,465,806,1100,1540,2330,3664,4598,mid
19,104,463,874,1081,1493,2104,3239,4492,mid
13,119,368,855,1081,1486,2255,3204,4503,mid
25,93,494,819,1123,1569,2363,3388,4670,mid
14,80,462,883,1113,1471,2264,3322,4547,mid
29,148,370,822,1091,1566,1976,3293,4517,mid
18,193,399,785,1102,1533,1958,3619,4534,mid
23,126,514,793,1104,1463,2264,3391,4420,mid
30,103,461,835,1120,1533,2389,3727,4562,mid
46,180,521,813,1102,1557,2309,3452,4689,mid
45,83,523,871,1083,1524,2275,3575,4502,mid
42,146,501,877,1127,1529,2273,3448,4565,mid
31,134,453,845,1106,1585,2356,3604,4670,mid
45,81,407,869,1082,1574,2164,3516,4436,mid
12,179,378,792,1105,1479,1963,3561,4459,mid
25,110,406,810,1124,1489,2332,3747,4687,mid
28,182,471,789,1082,1535,2034,3610,4696,mid
44,111,495,815,1119,1575,2271,3744,4577,mid
19,162,520,781,1087,1565,2216,3627,4519,mid
45,103,383,790,1105,1566,2130,3360,4623,mid
15,192,440,818,1087,1550,2209,3269,4464,mid
47,83,508,799,1083,1474,2092,3639,4615,mid
19,109,409,822,1126,1499,1913,3250,4562,mid
15,203,530,922,1115,1672,2880,3682,4717,high
41,240,546,907,1110,1556,2611,3750,4783,high
22,224,610,868,1146,1633,2943,3550,4752,high
33,233,592,876,1138,1551,2536,3661,4779,high
37,267,613,917,1106,1644,2665,3758,4744,high
23,218,508,865,1134,1602,2349,3839,4916,high
25,256,564,896,1143,1557,2616,3747,4774,high
18,242,532,893,1167,1605,2924,3518,4853,high
8,201,674,885,1106,1579,2614,3944,4690,high
11,204,607,899,1137,1562,2258,3834,4713,high
22,210,642,923,1134,1593,2426,3535,4640,high
24,261,643,852,1165,1611,2888,3621,4935,high
21,186,596,890,1113,1675,2953,3641,4806,high
7,229,663,921,1102,1580,2839,3690,4610,high
39,220,622,911,1104,1638,2940,3973,4663,high
43,220,550,873,1145,1613,2260,3701,4959,high
7,192,586,911,1103,1574,2317,3767,4681,high
27,212,485,916,1158,1632,2704,3668,4654,high
11,257,511,912,1168,1563,2575,3567,4606,high
35,250,553,883,1150,1588,2695,3799,4732,high
20,213,624,921,1124,1666,2893,3714,4819,high
12,195,575,893,1117,1639,2230,3554,4857,high
17,214,644,850,1140,1645,2254,3661,4617,high
18,200,593,878,1162,1668,2259,3973,4877,high
43,234,574,911,1146,1624,2539,3705,4810,high
45,227,591,910,1122,1658,2732,3670,4829,high
8,213,645,878,1159,1611,2772,3590,4736,high
13,265,578,870,1128,1656,2353,3739,4793,high
13,275,560,913,1163,1639,2379,3649,4625,high
27,238,493,896,1136,1575,2228,3914,4718,high
10,82,379,788,1033,1421,1885,3249,4494,low
41,67,373,752,1009,1420,1989,3270,4312,low
27,71,352,753,1024,1351,1907,3169,4306,low
10,76,361,797,1003,1431,1978,3287,4210,low
35,84,385,796,1049,1369,1993,3100,4363,low
30,90,363,768,1047,1450,1829,3139,4189,low
33,84,360,780,1047,1436,1994,3262,4348,low
36,97,383,764,1051,1448,1991,3295,4295,low
